t_s,gt_x,gt_y,gt_yaw_deg,ekf_x,ekf_y,ekf_yaw_deg,amcl_x,amcl_y,amcl_yaw_deg,err_ekf_pos_m,err_ekf_yaw_deg,err_amcl_pos_m,err_amcl_yaw_deg
0.614,-0.362685,-0.006979,0.0001,-0.000000,0.000000,-0.0201,-0.015922,-0.026332,0.0185,0.362752,0.0202,0.347303,0.0184
1.114,-0.362685,-0.006979,0.0001,-0.000000,0.000000,-0.0201,-0.015922,-0.026332,0.0185,0.362752,0.0202,0.347303,0.0184
1.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.133305,0.042026,0.1691,0.290547,0.0332,0.234556,0.1690
2.113,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.133305,0.042026,0.1691,0.290547,0.0332,0.234556,0.1690
2.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.136354,0.055919,0.0923,0.290547,0.0332,0.234908,0.0923
3.113,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.136354,0.055919,0.0923,0.290547,0.0332,0.234908,0.0923
3.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.129703,0.045297,-0.4907,0.290547,0.0332,0.238775,0.4908
4.113,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.129703,0.045297,-0.4907,0.290547,0.0332,0.238775,0.4908
4.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.142510,0.046327,0.2094,0.290547,0.0332,0.226536,0.2093
5.114,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.142510,0.046327,0.2094,0.290547,0.0332,0.226536,0.2093
5.613,-0.362685,-0.006979,0.0001,-0.000000,0.000000,-0.0199,-0.133936,0.048327,-0.0313,0.362752,0.0200,0.235340,0.0314
6.116,-0.362685,-0.006979,0.0001,-0.000000,0.000000,-0.0199,-0.062210,-0.030337,0.0843,0.362752,0.0200,0.301382,0.0842
6.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.138972,0.048769,-0.3465,0.290547,0.0332,0.230555,0.3466
7.113,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.138972,0.048769,-0.3465,0.290547,0.0332,0.230555,0.3466
7.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.129067,0.047657,0.0581,0.290547,0.0332,0.239922,0.0580
8.113,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.129067,0.047657,0.0581,0.290547,0.0332,0.239922,0.0580
8.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.142866,0.054087,0.4023,0.290547,0.0332,0.228143,0.4022
9.113,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.142866,0.054087,0.4023,0.290547,0.0332,0.228143,0.4022
9.613,-0.362685,-0.006979,0.0001,-0.078624,0.054067,-0.0332,-0.132554,0.048218,-0.4563,0.290547,0.0332,0.236658,0.4564
